Age,Gender,Country,state,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,treatment
33,Male,United Kingdom,NA,No,No,Rarely,1to5,Yes,Yes,NA,No,No,No,NA,NA,Yes,Maybe,No,No,No,Maybe,No,No,0
25,Female,United States,WA,No,Yes,Sometimes,26to100,No,Yes,Yes,Yes,No,No,Yes,NA,No,No,Some of them,Yes,No,No,NA,No,1
23,Male,United States,AL,No,Yes,Sometimes,100to500,No,No,NA,No,No,No,NA,NA,No,No,Yes,Yes,Maybe,Yes,NA,No,1
54,Male,United States,CA,No,Yes,Never,MoreThan1000,No,Yes,NA,No,Yes,Yes,NA,NA,No,No,No,Yes,No,No,NA,No,1
22,Male,United States,CA,No,No,Sometimes,MoreThan1000,No,Yes,NA,No,NA,NA,NA,NA,Maybe,No,Some of them,No,No,Maybe,NA,No,0
25,None,United States,CA,No,Yes,Sometimes,MoreThan1000,No,Yes,Yes,Yes,NA,NA,NA,NA,Maybe,No,Some of them,Some of them,No,No,Yes,No,1
29,Male,Belgium,NA,No,No,Often,6to26,No,No,NA,No,No,No,NA,NA,Maybe,No,Yes,Yes,Maybe,Maybe,NA,No,0
27,Male,United States,MA,No,No,Sometimes,MoreThan1000,No,Yes,Yes,Yes,Yes,Yes,Yes,NA,No,No,No,No,No,Yes,Yes,No,1
30,Male,United Kingdom,NA,No,No,Never,6to26,No,Yes,No,No,No,NA,NA,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,0
26,Male,United States,CA,No,Yes,Often,MoreThan1000,No,Yes,Yes,Not sure,NA,Yes,NA,NA,Maybe,No,Some of them,No,No,No,NA,No,1
25,Female,Sweden,NA,No,Yes,Sometimes,6to26,No,Yes,Yes,Yes,Yes,No,NA,Somewhat easy,No,No,Some of them,Yes,No,No,No,No,0
31,Male,United States,CA,No,No,Sometimes,500to1000,No,No,No,Yes,No,NA,Yes,NA,No,No,Some of them,No,No,No,No,No,1
33,Male,United States,IN,No,Yes,Sometimes,26to100,No,Yes,NA,Not sure,No,No,NA,NA,Maybe,No,Some of them,Some of them,No,No,NA,No,1
34,Male,United States,WA,No,Yes,Sometimes,MoreThan1000,No,Yes,Yes,Yes,NA,Yes,Yes,NA,Maybe,Maybe,No,No,No,No,NA,No,1
34,Male,United States,WA,No,No,Sometimes,100to500,Yes,Yes,No,No,No,No,NA,Somewhat easy,Yes,Yes,Some of them,Some of them,No,Maybe,NA,No,1
29,Male,United States,IN,Yes,No,NA,1to5,Yes,Yes,No,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,0
33,Female,United States,WA,No,No,NA,6to26,No,Yes,No,No,No,No,NA,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,NA,No,0
34,Male,Germany,NA,Yes,Yes,Rarely,26to100,Yes,Yes,No,No,No,NA,NA,Somewhat difficult,No,No,Yes,Yes,No,Maybe,Yes,No,1
26,Male,United States,OK,Yes,Yes,Rarely,100to500,Yes,No,No,No,No,NA,No,NA,Maybe,No,Some of them,Yes,No,Yes,No,No,1
32,Male,United States,MI,No,Yes,Rarely,MoreThan1000,No,No,Yes,Yes,Yes,Yes,Yes,NA,No,No,Some of them,Yes,No,Yes,Yes,No,1
28,Male,United States,GA,No,Yes,Sometimes,MoreThan1000,No,Yes,NA,Not sure,No,NA,NA,Somewhat difficult,Maybe,Maybe,No,No,No,No,No,No,1
35,Male,United States,CA,No,Yes,NA,MoreThan1000,No,Yes,Yes,No,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,NA,No,0
36,Male,United States,NA,No,Yes,Often,100to500,No,Yes,No,Yes,No,No,Yes,Very easy,No,No,Some of them,Some of them,No,No,NA,No,1
21,Male,United States,IN,No,Yes,Rarely,100to500,No,Yes,Yes,No,No,NA,Yes,NA,No,No,Yes,Yes,Maybe,Maybe,NA,No,1
21,Male,United Kingdom,NA,No,No,Sometimes,6to26,No,No,NA,Not sure,No,No,No,Very easy,Yes,No,Some of them,No,No,Maybe,No,No,1
22,Female,United States,WA,No,No,NA,MoreThan1000,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat easy,No,No,No,Some of them,No,No,Yes,No,0
41,Male,United States,WA,No,Yes,Often,MoreThan1000,No,Yes,Yes,No,Yes,Yes,NA,Somewhat difficult,Maybe,No,Yes,Some of them,No,Maybe,No,Yes,1
55,Male,United States,PA,No,Yes,Rarely,MoreThan1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,1
32,Female,United States,WA,No,No,Sometimes,26to100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Maybe,Yes,No,1
21,Female,United States,CA,No,Yes,Rarely,26to100,No,Yes,NA,Not sure,NA,No,NA,Somewhat easy,Yes,No,Some of them,No,No,Yes,NA,No,1
45,Male,United States,MA,No,No,Never,26to100,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Maybe,No,No,Some of them,No,Maybe,NA,No,1
27,Female,United States,WA,No,No,Rarely,MoreThan1000,No,Yes,Yes,Yes,No,No,Yes,NA,Yes,Maybe,No,No,No,No,No,No,1
25,Female,United States,WA,No,Yes,Sometimes,26to100,Yes,Yes,NA,No,No,No,NA,NA,Maybe,No,Some of them,Yes,No,No,Yes,No,1
34,Female,United States,NY,No,Yes,Rarely,MoreThan1000,No,No,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Maybe,Some of them,Some of them,No,No,Yes,No,1
26,Female,United States,CA,No,Yes,Never,MoreThan1000,No,Yes,Yes,Yes,No,Yes,Yes,NA,Maybe,No,No,No,No,No,NA,No,1
41,Male,Canada,NA,No,No,Never,500to1000,No,Yes,Yes,Not sure,No,NA,NA,Somewhat easy,No,No,Some of them,Some of them,No,No,NA,No,1
27,Male,United States,CA,No,No,Rarely,MoreThan1000,No,Yes,Yes,No,Yes,Yes,Yes,NA,No,No,Some of them,Yes,No,Maybe,Yes,No,1
31,Male,United States,IN,No,Yes,Sometimes,26to100,Yes,Yes,Yes,No,No,No,NA,NA,No,No,Yes,Yes,No,No,NA,No,1
25,Male,Germany,NA,No,Yes,Often,26to100,Yes,Yes,No,No,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No,Yes,No,No,1
26,Male,United States,NV,No,No,Sometimes,6to26,No,Yes,NA,No,No,No,NA,NA,Yes,Yes,Some of them,No,No,No,No,No,1
27,Female,United States,CO,No,Yes,Rarely,MoreThan1000,Yes,Yes,Yes,Yes,No,NA,NA,NA,Maybe,Maybe,No,Yes,No,No,NA,No,1
42,Male,New Zealand,NA,No,No,Never,500to1000,No,Yes,NA,Not sure,No,No,NA,NA,No,No,Some of them,Yes,Maybe,Maybe,NA,No,0
29,None,United States,CA,Yes,Yes,Sometimes,1to5,Yes,Yes,Yes,Yes,No,No,NA,Very difficult,Yes,No,Some of them,No,No,Maybe,No,No,1
25,Female,United States,CA,No,No,Sometimes,6to26,No,Yes,NA,Not sure,No,No,NA,Somewhat difficult,Yes,No,Some of them,No,No,Maybe,NA,No,1
33,Female,Sweden,NA,No,Yes,Rarely,MoreThan1000,No,Yes,Yes,Yes,No,Yes,Yes,NA,Maybe,No,Some of them,No,No,Yes,NA,No,1
40,Female,United States,PA,No,Yes,Rarely,MoreThan1000,No,No,Yes,No,NA,NA,NA,Somewhat easy,Maybe,Maybe,No,No,No,No,NA,No,1
31,Male,United States,SC,No,No,Never,MoreThan1000,No,Yes,NA,No,No,NA,NA,Somewhat easy,Yes,No,Some of them,No,No,No,NA,No,0
26,Male,Canada,NA,No,Yes,Often,26to100,Yes,Yes,NA,No,NA,NA,NA,Very easy,No,No,Yes,Yes,No,No,Yes,No,1
24,Female,United States,TX,No,Yes,NA,500to1000,No,No,No,No,No,No,No,Very difficult,Yes,Maybe,No,No,No,Maybe,No,Yes,0
29,Male,United States,TX,No,No,Never,MoreThan1000,No,No,Yes,Not sure,No,NA,NA,NA,Maybe,No,Some of them,Some of them,No,No,NA,No,0
48,Male,United Kingdom,NA,No,No,NA,26to100,No,Yes,NA,No,No,No,NA,NA,Maybe,Maybe,No,No,No,No,No,No,0
35,Male,United Kingdom,NA,No,No,Sometimes,6to26,No,Yes,No,No,No,No,NA,Very difficult,Maybe,Maybe,Some of them,Yes,No,Maybe,No,Yes,0
32,Female,United States,AL,No,No,Never,100to500,No,Yes,NA,Not sure,No,No,NA,NA,Maybe,No,No,Some of them,No,Maybe,NA,No,0
29,Male,Canada,NA,No,No,Sometimes,100to500,No,Yes,NA,Not sure,NA,NA,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,1
26,Male,United States,OR,No,Yes,Often,6to26,No,Yes,Yes,Yes,No,No,NA,Somewhat difficult,Maybe,No,Some of them,Yes,No,No,No,No,1
28,Male,United States,NJ,No,Yes,Sometimes,26to100,No,Yes,Yes,Yes,No,No,NA,NA,Maybe,No,Some of them,No,No,Maybe,No,No,1
23,Male,United States,CA,No,No,NA,MoreThan1000,No,Yes,NA,No,No,NA,NA,NA,No,No,Some of them,Yes,No,Maybe,No,No,0
35,Male,United States,CA,No,Yes,Sometimes,100to500,No,Yes,Yes,Yes,No,No,NA,Very difficult,Maybe,Maybe,Some of them,Some of them,No,Maybe,No,Yes,1
29,Male,Germany,NA,No,Yes,Sometimes,26to100,No,Yes,NA,No,No,No,NA,Very easy,Maybe,No,Some of them,Some of them,Maybe,Maybe,NA,No,1
26,Male,United States,CA,No,Yes,NA,6to26,No,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,No,No,0
33,Male,United States,NH,No,Yes,Never,26to100,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Maybe,Yes,Some of them,No,No,Yes,No,1
33,Male,United States,CA,No,No,NA,MoreThan1000,Yes,Yes,NA,No,NA,NA,NA,NA,Yes,No,Some of them,No,No,Maybe,Yes,No,0
22,Male,Brazil,NA,Yes,No,Never,6to26,Yes,Yes,NA,No,No,No,NA,Somewhat easy,No,No,Yes,Yes,Maybe,No,NA,No,0
30,Female,Spain,NA,No,Yes,NA,500to1000,No,Yes,No,No,No,No,NA,NA,Yes,Maybe,No,No,No,No,NA,No,0
33,Male,United States,OH,No,Yes,Often,MoreThan1000,Yes,Yes,Yes,Yes,No,No,NA,Somewhat easy,Yes,No,No,No,No,No,No,No,1
31,Female,United States,OH,No,Yes,Rarely,MoreThan1000,No,No,NA,Not sure,No,NA,NA,Very difficult,Yes,Maybe,No,No,No,Maybe,No,No,1
21,Male,United States,MA,No,Yes,Never,MoreThan1000,No,Yes,NA,Not sure,NA,NA,NA,NA,No,No,Some of them,Some of them,No,Maybe,NA,Yes,0
31,None,United Kingdom,NA,No,Yes,Sometimes,MoreThan1000,No,Yes,NA,No,No,No,NA,NA,Yes,Maybe,No,No,No,Yes,Yes,No,1
26,Female,United States,OK,No,No,Sometimes,100to500,Yes,Yes,NA,Not sure,NA,NA,NA,Somewhat difficult,No,No,Some of them,Some of them,No,No,Yes,No,1
30,Male,United States,CA,No,Yes,Often,6to26,No,Yes,NA,No,No,NA,NA,Somewhat easy,Maybe,No,Some of them,Yes,No,No,NA,No,0
30,None,Germany,NA,No,Yes,Sometimes,100to500,No,Yes,NA,Not sure,No,No,NA,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,No,No,1
23,Male,India,NA,No,No,NA,6to26,No,Yes,No,No,No,No,NA,NA,No,No,Some of them,Yes,Maybe,Maybe,No,No,0
34,Male,Finland,NA,No,No,Never,6to26,No,Yes,No,No,No,No,NA,Somewhat easy,No,No,Yes,Yes,No,Maybe,NA,No,0
55,Male,United States,ID,No,Yes,Sometimes,1to5,Yes,Yes,No,Yes,No,NA,NA,NA,Yes,Maybe,No,No,No,No,No,Yes,1
28,Male,Germany,NA,No,Yes,Rarely,1to5,Yes,Yes,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,1
26,Male,Uruguay,NA,No,No,NA,26to100,Yes,Yes,NA,No,NA,No,NA,NA,No,No,Some of them,No,No,Yes,NA,No,0
28,Male,New Zealand,NA,No,Yes,Sometimes,6to26,Yes,Yes,Yes,Yes,Yes,No,NA,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,1
32,Male,United Kingdom,NA,No,Yes,Sometimes,6to26,No,Yes,No,No,No,NA,NA,Somewhat easy,No,No,Some of them,Yes,No,No,NA,No,1
28,Female,United States,NY,No,No,Rarely,MoreThan1000,No,No,Yes,Yes,No,NA,NA,NA,Maybe,No,No,No,No,No,NA,No,1
21,Male,United States,CA,No,No,Sometimes,6to26,No,No,NA,Not sure,No,Yes,Yes,NA,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,0
24,Male,United States,TX,No,Yes,Sometimes,100to500,No,Yes,No,Yes,No,No,NA,Somewhat difficult,Yes,No,Some of them,Some of them,No,Maybe,No,Yes,1
26,Female,United States,MD,No,No,NA,MoreThan1000,No,No,Yes,Not sure,Yes,NA,NA,NA,Maybe,No,Some of them,No,No,No,NA,No,0
23,Male,United States,IN,No,No,NA,MoreThan1000,No,No,Yes,No,No,No,NA,NA,No,No,Yes,No,No,Yes,NA,No,0
24,Female,United States,OR,No,No,NA,MoreThan1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,Yes,Yes,Yes,No,0
28,Male,Canada,NA,Yes,No,Never,100to500,Yes,Yes,NA,No,No,No,NA,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No,0
24,Female,United States,NY,No,Yes,Rarely,6to26,No,Yes,No,No,No,No,NA,Very easy,Yes,No,No,Some of them,No,Yes,Yes,No,1
33,Male,United States,MS,Yes,No,Often,1to5,Yes,Yes,No,No,No,No,Yes,Somewhat easy,Yes,Maybe,Some of them,Some of them,Yes,Yes,NA,No,1
34,Male,United States,NJ,No,No,Sometimes,26to100,No,Yes,NA,No,No,No,NA,NA,Maybe,No,Yes,Yes,No,Maybe,NA,No,0
27,Female,United States,CA,No,No,Sometimes,26to100,No,Yes,NA,Not sure,No,No,NA,Somewhat difficult,Maybe,Maybe,Some of them,Some of them,No,No,NA,No,1
28,Male,United States,TN,No,No,Never,6to26,No,Yes,NA,No,No,NA,NA,NA,No,No,Some of them,Yes,No,No,NA,No,0
26,Male,United States,WA,No,No,NA,MoreThan1000,No,Yes,NA,Not sure,NA,NA,NA,NA,No,No,Some of them,Yes,No,No,NA,Yes,0
20,Male,Australia,NA,No,No,NA,100to500,Yes,Yes,NA,Not sure,NA,NA,Yes,Very easy,No,No,Some of them,Yes,No,No,NA,No,0
23,Female,United States,MA,No,No,Sometimes,26to100,No,Yes,Yes,Yes,No,NA,NA,NA,Maybe,No,Some of them,No,No,Maybe,NA,No,1
29,Male,United States,PA,No,Yes,Rarely,1to5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,1
26,Male,United Kingdom,NA,No,Yes,Sometimes,6to26,No,Yes,No,No,No,No,NA,NA,Maybe,Maybe,No,No,No,Maybe,No,No,0
36,Male,United States,KY,No,No,Rarely,MoreThan1000,Yes,Yes,Yes,No,Yes,NA,NA,Somewhat easy,Maybe,No,No,No,No,No,NA,No,0
41,Male,United States,PA,No,No,Sometimes,MoreThan1000,No,Yes,Yes,Yes,Yes,Yes,Yes,NA,Maybe,No,Some of them,Yes,Maybe,Yes,Yes,Yes,1
33,Female,United States,MA,No,No,NA,100to500,Yes,Yes,Yes,No,NA,No,NA,NA,No,No,Some of them,Yes,No,No,Yes,No,0
23,Male,Canada,NA,No,Yes,Sometimes,6to26,No,Yes,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,1
39,Male,United States,CA,No,Yes,Often,MoreThan1000,No,Yes,Yes,No,No,NA,NA,NA,Yes,No,Some of them,Some of them,No,Maybe,No,Yes,0
34,Male,United States,VT,No,Yes,NA,MoreThan1000,No,Yes,Yes,Not sure,NA,NA,NA,NA,Maybe,No,Some of them,Some of them,No,Maybe,NA,Yes,0
26,Female,United States,CA,No,No,Sometimes,100to500,No,Yes,Yes,Yes,No,No,NA,Somewhat difficult,Yes,Maybe,Some of them,Some of them,No,No,No,Yes,1
24,Male,United States,AZ,No,No,Rarely,26to100,No,Yes,Yes,Yes,Yes,No,NA,NA,No,No,Some of them,Yes,No,No,NA,No,1
37,Male,Canada,NA,No,Yes,Rarely,MoreThan1000,No,No,Yes,Yes,Yes,Yes,NA,NA,Maybe,Maybe,Some of them,Some of them,No,No,NA,No,1
43,Male,United States,MA,Yes,Yes,Often,6to26,Yes,Yes,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,1
40,None,United States,VA,No,Yes,Never,MoreThan1000,No,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Maybe,No,Some of them,No,Maybe,Yes,No,0
30,Male,United States,WA,No,Yes,Often,MoreThan1000,No,Yes,Yes,Yes,Yes,No,NA,Very difficult,Yes,No,Some of them,No,No,No,No,Yes,1
34,Male,United States,CA,No,No,Sometimes,6to26,No,Yes,NA,Not sure,No,No,NA,NA,Yes,Yes,Some of them,No,No,No,NA,No,1
27,Male,United States,OR,No,Yes,Sometimes,100to500,No,Yes,NA,Not sure,No,NA,NA,NA,Yes,No,No,No,No,Yes,NA,No,1
36,Male,United States,MI,No,No,Sometimes,MoreThan1000,No,Yes,NA,No,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,NA,No,0
27,Male,Brazil,NA,No,No,Rarely,6to26,No,Yes,No,Yes,No,No,NA,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,No,No,0
35,Male,Netherlands,NA,No,Yes,Never,100to500,No,Yes,Yes,No,No,No,Yes,NA,Yes,No,No,No,No,Maybe,NA,No,0
32,Male,United Kingdom,NA,No,No,Never,6to26,No,Yes,No,No,No,No,NA,NA,Maybe,No,Some of them,No,No,Yes,Yes,No,0
37,Male,United States,OR,No,No,NA,500to1000,No,Yes,Yes,No,No,No,NA,NA,Maybe,Maybe,Some of them,Some of them,No,No,NA,No,0
29,Male,United Kingdom,NA,No,No,NA,26to100,No,Yes,NA,No,NA,NA,NA,NA,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,0
33,Female ,United States,CA,No,No,Never,500to1000,No,Yes,Yes,Not sure,Yes,Yes,NA,Very easy,Maybe,No,Some of them,Yes,No,No,Yes,No,0
28,Male,United States,UT,No,No,Sometimes,6to26,Yes,Yes,No,Yes,No,No,NA,Somewhat easy,Yes,Maybe,Some of them,No,No,No,NA,No,0
26,Female,United States,CA,No,Yes,Never,26to100,No,Yes,NA,Not sure,No,No,NA,Somewhat difficult,Maybe,Maybe,Some of them,No,No,Maybe,No,No,0
27,Male,United States,TX,No,Yes,Sometimes,6to26,Yes,Yes,NA,No,Yes,NA,NA,Somewhat easy,Yes,No,Some of them,Yes,No,Maybe,Yes,No,1
38,Male,United Kingdom,NA,Yes,No,Sometimes,26to100,Yes,Yes,No,No,No,No,Yes,Somewhat easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No,1
57,Male,United States,CA,No,Yes,Rarely,MoreThan1000,No,Yes,Yes,Yes,No,No,NA,NA,Maybe,No,Some of them,Yes,No,Maybe,No,No,1
28,Male,United Kingdom,NA,No,No,Sometimes,MoreThan1000,No,Yes,No,No,No,No,No,Very difficult,Yes,Maybe,No,Some of them,No,Maybe,No,No,1
26,Male,France,NA,No,No,Never,6to26,No,Yes,No,Yes,No,No,NA,NA,Maybe,No,Yes,Yes,Maybe,Maybe,No,No,0
42,Female,Netherlands,NA,No,No,Rarely,100to500,Yes,Yes,Yes,Yes,No,No,Yes,NA,Yes,No,Some of them,No,No,Maybe,NA,No,1
31,Male,United States,OR,No,No,Sometimes,100to500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Yes,No,1
58,Male,United States,CA,No,No,Rarely,MoreThan1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,Yes,No,1
29,Male,United States,OH,No,No,Sometimes,6to26,No,Yes,NA,No,No,No,NA,Very difficult,Yes,No,No,No,No,Maybe,No,No,0
39,Female,United Kingdom,NA,No,No,Sometimes,MoreThan1000,No,Yes,Yes,Yes,No,Yes,NA,NA,Yes,No,Some of them,Some of them,No,Maybe,No,Yes,1
34,Male,United States,OH,No,No,Sometimes,6to26,Yes,Yes,NA,No,No,No,NA,Very difficult,Maybe,No,Some of them,Yes,No,Maybe,NA,No,0
57,Male,United States,CA,No,No,Sometimes,MoreThan1000,No,Yes,Yes,Not sure,Yes,Yes,NA,NA,Maybe,Maybe,No,No,No,Maybe,NA,No,1
27,Male,Germany,NA,No,Yes,Sometimes,6to26,No,Yes,No,Not sure,No,No,NA,Somewhat difficult,Yes,Maybe,Some of them,No,No,No,No,Yes,1
23,Male,Germany,NA,Yes,Yes,Often,26to100,Yes,Yes,NA,No,NA,NA,NA,NA,No,Maybe,Yes,Yes,Maybe,Yes,NA,No,1
18,Male,Finland,NA,No,No,NA,500to1000,Yes,No,NA,No,No,NA,NA,Very easy,Yes,No,No,No,No,Maybe,NA,No,0
30,Female,United States,NY,No,No,NA,100to500,No,Yes,NA,Not sure,No,No,NA,NA,Maybe,No,Some of them,Yes,No,Maybe,NA,No,0
23,Male,United States,VA,No,No,Never,26to100,No,No,NA,Not sure,NA,NA,NA,NA,No,No,Yes,Yes,Maybe,Yes,Yes,No,0
43,Male,United States,CA,No,No,Sometimes,MoreThan1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Maybe,No,No,No,Yes,NA,No,1
18,Female,United Kingdom,NA,No,Yes,Sometimes,1to5,Yes,Yes,NA,Not sure,NA,NA,NA,NA,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,NA,No,1
29,Male,United States,IL,No,No,Rarely,6to26,No,Yes,Yes,Yes,No,No,NA,NA,Maybe,No,Some of them,No,No,Maybe,NA,No,1
48,Male,United States,TX,No,No,Never,6to26,No,Yes,NA,No,No,NA,NA,NA,Maybe,No,No,No,No,Maybe,NA,No,0
43,Male,Germany,NA,No,No,Sometimes,26to100,No,No,No,Yes,NA,No,NA,Somewhat easy,Maybe,No,Some of them,Some of them,No,Yes,No,Yes,1
28,Female,United States,NY,No,Yes,Sometimes,26to100,No,Yes,NA,Not sure,No,No,NA,NA,Yes,Maybe,Some of them,No,No,Maybe,NA,No,1
30,Male,United States,CA,Yes,Yes,Often,1to5,Yes,Yes,No,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,1
26,Male,Israel,MD,No,No,Sometimes,6to26,No,Yes,No,No,No,No,Yes,Very easy,Maybe,No,Some of them,Yes,No,Maybe,Yes,No,0
33,Male,Italy,NA,No,No,Never,6to26,No,No,No,No,No,No,NA,NA,Maybe,Maybe,Some of them,Some of them,No,No,No,No,0
31,Male,United States,CA,No,No,NA,MoreThan1000,No,Yes,Yes,Not sure,NA,NA,Yes,NA,No,No,No,Some of them,No,No,Yes,No,0
30,Male,United States,PA,No,No,Rarely,100to500,No,No,NA,Not sure,No,No,NA,NA,No,No,Some of them,Some of them,No,No,NA,No,0
27,Male,Israel,NA,No,No,NA,26to100,No,Yes,No,No,No,No,NA,Somewhat difficult,Yes,No,Some of them,No,No,Maybe,No,Yes,0
24,Female,United States,CA,Yes,Yes,Sometimes,1to5,Yes,Yes,No,No,NA,NA,NA,NA,No,No,Some of them,Some of them,No,No,NA,Yes,1
25,Male,United States,WA,No,No,NA,26to100,No,Yes,NA,Not sure,NA,NA,NA,NA,Maybe,No,Some of them,No,No,No,NA,No,0
23,Female,United States,NY,No,Yes,Often,MoreThan1000,No,Yes,Yes,Not sure,NA,No,NA,NA,Maybe,No,Some of them,Some of them,No,No,Yes,Yes,1
36,Male,United States,TX,No,No,Sometimes,MoreThan1000,No,No,Yes,Not sure,No,No,NA,Somewhat difficult,Yes,Maybe,Some of them,No,No,No,No,Yes,1
25,Female,United States,CA,Yes,Yes,Often,1to5,Yes,Yes,NA,Not sure,No,No,Yes,Somewhat difficult,Yes,No,Some of them,No,No,Maybe,No,Yes,1
54,Male,United Kingdom,NA,No,No,Sometimes,MoreThan1000,Yes,No,No,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,No,No,1
34,Male,Netherlands,NA,No,No,Rarely,6to26,No,Yes,NA,Not sure,NA,NA,NA,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,0
38,Female,United States,AZ,No,No,NA,26to100,No,Yes,Yes,Yes,No,No,Yes,NA,Maybe,Maybe,No,No,No,No,No,No,1
40,Male,Ireland,NA,Yes,Yes,NA,MoreThan1000,No,Yes,No,No,No,No,No,NA,Yes,Maybe,Some of them,No,No,Maybe,No,Yes,0
32,Male,United Kingdom,NA,No,No,NA,26to100,No,Yes,No,Not sure,No,NA,NA,NA,No,No,No,Some of them,No,Maybe,NA,No,0
25,Male,Germany,NA,No,No,Never,MoreThan1000,No,No,NA,Not sure,NA,Yes,NA,NA,No,No,Yes,Yes,No,Yes,NA,No,0
35,Female,United States,OH,No,No,Sometimes,100to500,No,Yes,No,Yes,No,No,NA,NA,Yes,Maybe,No,No,No,Maybe,No,No,1
46,Male,United States,CA,No,No,Sometimes,MoreThan1000,No,Yes,Yes,Yes,Yes,Yes,NA,NA,Maybe,No,Some of them,No,No,No,Yes,No,1
42,Male,United States,KS,No,No,Never,100to500,No,No,Yes,No,Yes,No,NA,Very difficult,Maybe,No,Yes,Yes,Maybe,Yes,No,No,0
32,Male,United Kingdom,NA,No,Yes,Sometimes,6to26,Yes,Yes,Yes,No,No,No,NA,NA,No,No,Yes,Yes,Maybe,Maybe,Yes,No,1
47,Male,United States,CA,No,Yes,Sometimes,MoreThan1000,No,Yes,Yes,Yes,Yes,Yes,NA,Very easy,No,No,Some of them,Yes,No,Yes,Yes,No,1
22,Male,United States,CA,No,No,NA,MoreThan1000,No,Yes,Yes,Not sure,Yes,NA,Yes,NA,No,No,Some of them,Yes,No,Maybe,Yes,No,0
33,Female,United States,NY,No,No,Sometimes,500to1000,Yes,Yes,Yes,Yes,Yes,Yes,NA,Very easy,No,No,Some of them,Some of them,No,No,NA,No,1
25,Female,United States,WA,No,No,Sometimes,6to26,No,Yes,No,No,No,No,No,Somewhat easy,Maybe,No,Some of them,No,No,No,Yes,No,0
29,Male,United States,CA,No,No,NA,MoreThan1000,No,Yes,NA,Not sure,No,NA,NA,NA,Maybe,No,No,No,No,Maybe,NA,No,0
39,Male,United States,WA,No,No,Never,26to100,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,0
38,Male,United States,VA,No,Yes,Sometimes,MoreThan1000,No,Yes,Yes,Not sure,Yes,Yes,Yes,NA,Yes,No,No,No,No,No,No,No,1
43,Male,United States,NC,No,No,NA,6to26,Yes,Yes,NA,No,No,NA,NA,NA,Maybe,No,Some of them,No,No,No,NA,No,0
46,Male,United States,OH,No,No,Rarely,500to1000,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,NA,No,No,Some of them,Yes,No,Maybe,Yes,No,1
38,Female,United States,PA,No,Yes,Sometimes,MoreThan1000,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Yes,Yes,No,No,No,Yes,1
